dt_ref,id_cliente,dias_primeira_iteracao_life,dias_ultima_iteracao_life,qtd_iteracoes_life,saldo_atual_life,pontos_acum_life,pontos_neg_life,frequencia_life,pontos_acum_dia_life,qtd_mensagens_life,qtd_resgate_poneis_life,mensagens_dia_life,pct_transacao_dia01_life,pct_transacao_dia02_life,pct_transacao_dia03_life,pct_transacao_dia04_life,pct_transacao_dia05_life,pct_transacao_dia06_life,pct_transacao_dia07_life,pct_transacao_manha_life,pct_transacao_tarde_life,pct_transacao_noite_life,media_dias_recorrencia_life,mediana_dias_recorrencia_life,dias_primeira_iteracao_d7,dias_ultima_iteracao_d7,qtd_iteracoes_d7,saldo_atual_d7,pontos_acum_d7,pontos_neg_d7,frequencia_d7,pontos_acum_dia_d7,qtd_mensagens_d7,qtd_resgate_poneis_d7,mensagens_dia_d7,pct_transacao_dia01_d7,pct_transacao_dia02_d7,pct_transacao_dia03_d7,pct_transacao_dia04_d7,pct_transacao_dia05_d7,pct_transacao_dia06_d7,pct_transacao_dia07_d7,pct_transacao_manha_d7,pct_transacao_tarde_d7,pct_transacao_noite_d7,media_dias_recorrencia_d7,mediana_dias_recorrencia_d7,dias_primeira_iteracao_d14,dias_ultima_iteracao_d14,qtd_iteracoes_d14,saldo_atual_d14,pontos_acum_d14,pontos_neg_d14,frequencia_d14,pontos_acum_dia_d14,qtd_mensagens_d14,qtd_resgate_poneis_d14,mensagens_dia_d14,pct_transacao_dia01_d14,pct_transacao_dia02_d14,pct_transacao_dia03_d14,pct_transacao_dia04_d14,pct_transacao_dia05_d14,pct_transacao_dia06_d14,pct_transacao_dia07_d14,pct_transacao_manha_d14,pct_transacao_tarde_d14,pct_transacao_noite_d14,media_dias_recorrencia_d14,mediana_dias_recorrencia_d14,dias_primeira_iteracao_d28,dias_ultima_iteracao_d28,qtd_iteracoes_d28,saldo_atual_d28,pontos_acum_d28,pontos_neg_d28,frequencia_d28,pontos_acum_dia_d28,qtd_mensagens_d28,qtd_resgate_poneis_d28,mensagens_dia_d28,pct_transacao_dia01_d28,pct_transacao_dia02_d28,pct_transacao_dia03_d28,pct_transacao_dia04_d28,pct_transacao_dia05_d28,pct_transacao_dia06_d28,pct_transacao_dia07_d28,pct_transacao_manha_d28,pct_transacao_tarde_d28,pct_transacao_noite_d28,media_dias_recorrencia_d28,mediana_dias_recorrencia_d28,flag_churn
2024-10-14,000ff655-fa9f-4baa-a108-47f581ec52a1,224,17,268,686,2686,-2000,28,95.92857142857143,236,2,8.428571428571429,0.0,0.208955223880597,0.16044776119402984,0.1455223880597015,0.1455223880597015,0.33955223880597013,0.0,1.0,0.0,0.0,7.666666666666667,2.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17,17,2,51,51,0,1,51.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,null,null,1
2024-05-27,000ff655-fa9f-4baa-a108-47f581ec52a1,84,20,263,534,2534,-2000,25,101.36,234,2,9.36,0.0,0.21292775665399238,0.1634980988593156,0.14068441064638784,0.1482889733840304,0.33460076045627374,0.0,1.0,0.0,0.0,2.6666666666666665,1.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28,20,6,-897,103,-1000,2,51.5,3,0,1.5,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,8.0,0
2024-06-24,000ff655-fa9f-4baa-a108-47f581ec52a1,112,24,266,635,2635,-2000,27,97.5925925925926,235,2,8.703703703703704,0.0,0.21052631578947367,0.16165413533834586,0.14661654135338345,0.14661654135338345,0.33458646616541354,0.0,1.0,0.0,0.0,3.3846153846153846,2.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26,24,3,101,101,0,2,50.5,1,0,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,2.0,2.0,1
2024-04-29,000ff655-fa9f-4baa-a108-47f581ec52a1,56,3,257,1431,2431,-1000,23,105.69565217391305,231,2,10.043478260869565,0.0,0.19844357976653695,0.16342412451361868,0.14396887159533073,0.1517509727626459,0.3424124513618677,0.0,1.0,0.0,0.0,2.409090909090909,1.0,6,3,10,157,157,0,3,52.333333333333336,7,0,2.3333333333333335,0.0,0.0,0.2,0.0,0.5,0.3,0.0,1.0,0.0,0.0,1.5,1.5,12,3,18,263,263,0,5,52.6,13,0,2.6,0.0,0.0,0.1111111111111111,0.2222222222222222,0.2777777777777778,0.3888888888888889,0.0,1.0,0.0,0.0,2.25,2.0,28,3,69,1156,1156,0,12,96.33333333333333,56,1,4.666666666666667,0.0,0.34782608695652173,0.08695652173913043,0.2608695652173913,0.14492753623188406,0.15942028985507245,0.0,1.0,0.0,0.0,2.272727272727273,2.0,0
2024-04-01,000ff655-fa9f-4baa-a108-47f581ec52a1,28,3,188,275,1275,-1000,11,115.9090909090909,175,1,15.909090909090908,0.0,0.14361702127659576,0.19148936170212766,0.10106382978723404,0.15425531914893617,0.4095744680851064,0.0,1.0,0.0,0.0,2.5,1.0,7,3,71,-87,913,-1000,5,182.6,63,1,12.6,0.0,0.323943661971831,0.18309859154929578,0.14084507042253522,0.19718309859154928,0.15492957746478872,0.0,1.0,0.0,0.0,1.0,1.0,13,3,183,221,1221,-1000,9,135.66666666666666,171,1,19.0,0.0,0.12568306010928962,0.19672131147540983,0.09836065573770492,0.15846994535519127,0.4207650273224044,0.0,1.0,0.0,0.0,1.25,1.0,28,3,188,275,1275,-1000,11,115.9090909090909,175,1,15.909090909090908,0.0,0.14361702127659576,0.19148936170212766,0.10106382978723404,0.15425531914893617,0.4095744680851064,0.0,1.0,0.0,0.0,2.5,1.0,0
2024-07-12,001749bd-37b5-4b1e-8111-f9fbba90f530,1,1,1,50,50,0,1,50.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,null,null,1,1,1,50,50,0,1,50.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,null,null,1,1,1,50,50,0,1,50.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,null,null,1,1,1,50,50,0,1,50.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,null,null,1
2024-06-25,0019bb9e-26d4-4ebf-8727-fc911ea28a92,57,19,2,2,2,0,2,1.0,2,0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,38.0,38.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,19,1,1,1,0,1,1.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,null,null,1
2024-04-30,0019bb9e-26d4-4ebf-8727-fc911ea28a92,1,1,1,1,1,0,1,1.0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,null,null,1,1,1,1,1,0,1,1.0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,null,null,1,1,1,1,1,0,1,1.0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,null,null,1,1,1,1,1,0,1,1.0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,null,null,1
2024-09-17,0033b737-8235-4c0f-9801-dc4ca185af00,1,1,1,50,50,0,1,50.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,null,null,1,1,1,50,50,0,1,50.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,null,null,1,1,1,50,50,0,1,50.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,null,null,1,1,1,50,50,0,1,50.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,null,null,1
2024-10-01,00a6d4c8-38e5-4e92-981e-4e4ac5084546,169,1,182,4585,14585,-10000,85,171.58823529411765,15,7,0.17647058823529413,0.0,0.1813186813186813,0.21978021978021978,0.16483516483516483,0.21428571428571427,0.21978021978021978,0.0,0.9725274725274725,0.01098901098901099,0.0,2.0,1.0,7,1,10,550,550,0,5,110.0,0,0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,1.0,0.0,0.0,1.5,1.0,14,1,18,1950,1950,0,8,243.75,0,2,0.0,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,0.8888888888888888,0.1111111111111111,0.0,1.8571428571428572,1.0,28,1,31,2701,2701,0,14,192.92857142857142,1,2,0.07142857142857142,0.0,0.1935483870967742,0.22580645161290322,0.1935483870967742,0.25806451612903225,0.12903225806451613,0.0,0.9354838709677419,0.06451612903225806,0.0,2.076923076923077,1.0,0
